allocator,scenario,dist,min_size,max_size,threads,mops_per_cpu_second,peak_mib
crt,"even [16,1000]",even,16,1000,1,25980952,39
crt,"even [16,1000]",even,16,1000,2,17775334,65
crt,"even [16,1000]",even,16,1000,4,13568139,104
crt,"even [16,1000]",even,16,1000,8,6033830,190
crt,"even [16,1000]",even,16,1000,16,2678565,354
jemalloc,"even [16,1000]",even,16,1000,1,79738312,24
jemalloc,"even [16,1000]",even,16,1000,2,69559900,49
jemalloc,"even [16,1000]",even,16,1000,4,61979573,102
jemalloc,"even [16,1000]",even,16,1000,8,46593630,199
jemalloc,"even [16,1000]",even,16,1000,16,32882874,419
tcmalloc,"even [16,1000]",even,16,1000,1,218501423,26
tcmalloc,"even [16,1000]",even,16,1000,2,181412252,50
tcmalloc,"even [16,1000]",even,16,1000,4,147331247,93
tcmalloc,"even [16,1000]",even,16,1000,8,98823654,168
tcmalloc,"even [16,1000]",even,16,1000,16,48389320,315
mimalloc,"even [16,1000]",even,16,1000,1,187672127,24
mimalloc,"even [16,1000]",even,16,1000,2,149807680,96
mimalloc,"even [16,1000]",even,16,1000,4,128611612,117
mimalloc,"even [16,1000]",even,16,1000,8,76158473,205
mimalloc,"even [16,1000]",even,16,1000,16,46969640,399
snmalloc,"even [16,1000]",even,16,1000,1,135929414,26
snmalloc,"even [16,1000]",even,16,1000,2,116764971,55
snmalloc,"even [16,1000]",even,16,1000,4,97249983,136
snmalloc,"even [16,1000]",even,16,1000,8,72631892,234
snmalloc,"even [16,1000]",even,16,1000,16,49038833,460
rpmalloc,"even [16,1000]",even,16,1000,1,136114615,23
rpmalloc,"even [16,1000]",even,16,1000,2,121982323,72
rpmalloc,"even [16,1000]",even,16,1000,4,114488479,129
rpmalloc,"even [16,1000]",even,16,1000,8,79869742,242
rpmalloc,"even [16,1000]",even,16,1000,16,55817822,429
qen,"even [16,1000]",even,16,1000,1,114013157,22
qen,"even [16,1000]",even,16,1000,2,83817013,46
qen,"even [16,1000]",even,16,1000,4,56541834,93
qen,"even [16,1000]",even,16,1000,8,22985298,197
qen,"even [16,1000]",even,16,1000,16,8923750,375
crt,"linear [16,8000]",linear,16,8000,1,26722331,177
crt,"linear [16,8000]",linear,16,8000,2,20381306,222
crt,"linear [16,8000]",linear,16,8000,4,17153961,319
crt,"linear [16,8000]",linear,16,8000,8,10004921,538
crt,"linear [16,8000]",linear,16,8000,16,3959353,1044
jemalloc,"linear [16,8000]",linear,16,8000,1,60234644,65
jemalloc,"linear [16,8000]",linear,16,8000,2,52072824,139
jemalloc,"linear [16,8000]",linear,16,8000,4,48491790,253
jemalloc,"linear [16,8000]",linear,16,8000,8,36745245,520
jemalloc,"linear [16,8000]",linear,16,8000,16,26471028,1083
tcmalloc,"linear [16,8000]",linear,16,8000,1,154457498,64
tcmalloc,"linear [16,8000]",linear,16,8000,2,132582643,123
tcmalloc,"linear [16,8000]",linear,16,8000,4,108567753,234
tcmalloc,"linear [16,8000]",linear,16,8000,8,54659008,441
tcmalloc,"linear [16,8000]",linear,16,8000,16,19432977,840
mimalloc,"linear [16,8000]",linear,16,8000,1,84856490,90
mimalloc,"linear [16,8000]",linear,16,8000,2,73403735,160
mimalloc,"linear [16,8000]",linear,16,8000,4,63555564,288
mimalloc,"linear [16,8000]",linear,16,8000,8,39633996,545
mimalloc,"linear [16,8000]",linear,16,8000,16,25429579,1026
snmalloc,"linear [16,8000]",linear,16,8000,1,71715603,63
snmalloc,"linear [16,8000]",linear,16,8000,2,65071855,143
snmalloc,"linear [16,8000]",linear,16,8000,4,54793731,271
snmalloc,"linear [16,8000]",linear,16,8000,8,45248736,528
snmalloc,"linear [16,8000]",linear,16,8000,16,33203546,1045
rpmalloc,"linear [16,8000]",linear,16,8000,1,80808332,62
rpmalloc,"linear [16,8000]",linear,16,8000,2,77600884,126
rpmalloc,"linear [16,8000]",linear,16,8000,4,69023674,253
rpmalloc,"linear [16,8000]",linear,16,8000,8,54282023,512
rpmalloc,"linear [16,8000]",linear,16,8000,16,40021186,1024
qen,"linear [16,8000]",linear,16,8000,1,107453874,57
qen,"linear [16,8000]",linear,16,8000,2,78785453,117
qen,"linear [16,8000]",linear,16,8000,4,60995932,233
qen,"linear [16,8000]",linear,16,8000,8,27956414,450
qen,"linear [16,8000]",linear,16,8000,16,11540401,893
crt,"linear [16,16000]",linear,16,16000,1,23035159,217
crt,"linear [16,16000]",linear,16,16000,2,17075620,343
crt,"linear [16,16000]",linear,16,16000,4,14494635,555
crt,"linear [16,16000]",linear,16,16000,8,8551066,966
crt,"linear [16,16000]",linear,16,16000,16,3053348,1884
jemalloc,"linear [16,16000]",linear,16,16000,1,41219167,119
jemalloc,"linear [16,16000]",linear,16,16000,2,37536405,245
jemalloc,"linear [16,16000]",linear,16,16000,4,35685149,506
jemalloc,"linear [16,16000]",linear,16,16000,8,27497555,1007
jemalloc,"linear [16,16000]",linear,16,16000,16,19344378,2041
tcmalloc,"linear [16,16000]",linear,16,16000,1,110504702,120
tcmalloc,"linear [16,16000]",linear,16,16000,2,105513579,236
tcmalloc,"linear [16,16000]",linear,16,16000,4,67507701,452
tcmalloc,"linear [16,16000]",linear,16,16000,8,29449533,876
tcmalloc,"linear [16,16000]",linear,16,16000,16,11320853,1674
mimalloc,"linear [16,16000]",linear,16,16000,1,59113599,152
mimalloc,"linear [16,16000]",linear,16,16000,2,50079328,288
mimalloc,"linear [16,16000]",linear,16,16000,4,43311387,545
mimalloc,"linear [16,16000]",linear,16,16000,8,26205962,1035
mimalloc,"linear [16,16000]",linear,16,16000,16,15444288,1922
snmalloc,"linear [16,16000]",linear,16,16000,1,53444684,127
snmalloc,"linear [16,16000]",linear,16,16000,2,48427451,255
snmalloc,"linear [16,16000]",linear,16,16000,4,39444947,512
snmalloc,"linear [16,16000]",linear,16,16000,8,32962257,1024
snmalloc,"linear [16,16000]",linear,16,16000,16,24826552,2034
