allocator,scenario,dist,min_size,max_size,threads,mops_per_cpu_second,peak_mib
crt,"even [16,1000]",even,16,1000,1,19478608,40
crt,"even [16,1000]",even,16,1000,2,14872271,64
crt,"even [16,1000]",even,16,1000,4,11708444,104
crt,"even [16,1000]",even,16,1000,8,4131123,185
crt,"even [16,1000]",even,16,1000,16,2267641,354
jemalloc,"even [16,1000]",even,16,1000,1,78294257,24
jemalloc,"even [16,1000]",even,16,1000,2,67064344,53
jemalloc,"even [16,1000]",even,16,1000,4,59691527,98
jemalloc,"even [16,1000]",even,16,1000,8,47548313,196
jemalloc,"even [16,1000]",even,16,1000,16,28001188,494
tcmalloc,"even [16,1000]",even,16,1000,1,235761113,26
tcmalloc,"even [16,1000]",even,16,1000,2,178042360,66
tcmalloc,"even [16,1000]",even,16,1000,4,151747597,93
tcmalloc,"even [16,1000]",even,16,1000,8,116033187,171
tcmalloc,"even [16,1000]",even,16,1000,16,45617804,356
mimalloc,"even [16,1000]",even,16,1000,1,176363436,24
mimalloc,"even [16,1000]",even,16,1000,2,145712936,60
mimalloc,"even [16,1000]",even,16,1000,4,108825150,121
mimalloc,"even [16,1000]",even,16,1000,8,71319300,202
mimalloc,"even [16,1000]",even,16,1000,16,41593079,432
snmalloc,"even [16,1000]",even,16,1000,1,134677831,26
snmalloc,"even [16,1000]",even,16,1000,2,118830122,83
snmalloc,"even [16,1000]",even,16,1000,4,103820048,108
snmalloc,"even [16,1000]",even,16,1000,8,74104875,208
snmalloc,"even [16,1000]",even,16,1000,16,46193522,507
rpmalloc,"even [16,1000]",even,16,1000,1,138623774,23
rpmalloc,"even [16,1000]",even,16,1000,2,126348410,46
rpmalloc,"even [16,1000]",even,16,1000,4,106843521,95
rpmalloc,"even [16,1000]",even,16,1000,8,78610795,185
rpmalloc,"even [16,1000]",even,16,1000,16,51898510,400
qen,"even [16,1000]",even,16,1000,1,89253463,22
qen,"even [16,1000]",even,16,1000,2,68935682,45
qen,"even [16,1000]",even,16,1000,4,48484051,88
qen,"even [16,1000]",even,16,1000,8,20948578,167
qen,"even [16,1000]",even,16,1000,16,8450856,333
crt,"linear [16,8000]",linear,16,8000,1,27161390,179
crt,"linear [16,8000]",linear,16,8000,2,20731472,250
crt,"linear [16,8000]",linear,16,8000,4,15498371,358
crt,"linear [16,8000]",linear,16,8000,8,7829239,574
crt,"linear [16,8000]",linear,16,8000,16,3536800,1044
jemalloc,"linear [16,8000]",linear,16,8000,1,59967561,65
jemalloc,"linear [16,8000]",linear,16,8000,2,52903717,126
jemalloc,"linear [16,8000]",linear,16,8000,4,48110098,257
jemalloc,"linear [16,8000]",linear,16,8000,8,36830717,514
jemalloc,"linear [16,8000]",linear,16,8000,16,24750419,1090
tcmalloc,"linear [16,8000]",linear,16,8000,1,153697113,64
tcmalloc,"linear [16,8000]",linear,16,8000,2,137822674,123
tcmalloc,"linear [16,8000]",linear,16,8000,4,111812712,233
tcmalloc,"linear [16,8000]",linear,16,8000,8,54261382,440
tcmalloc,"linear [16,8000]",linear,16,8000,16,19349644,849
mimalloc,"linear [16,8000]",linear,16,8000,1,87909270,90
mimalloc,"linear [16,8000]",linear,16,8000,2,74942315,160
mimalloc,"linear [16,8000]",linear,16,8000,4,62183468,256
mimalloc,"linear [16,8000]",linear,16,8000,8,38590637,545
mimalloc,"linear [16,8000]",linear,16,8000,16,24261597,1051
snmalloc,"linear [16,8000]",linear,16,8000,1,74078729,63
snmalloc,"linear [16,8000]",linear,16,8000,2,65854729,143
snmalloc,"linear [16,8000]",linear,16,8000,4,54723227,261
snmalloc,"linear [16,8000]",linear,16,8000,8,46241622,528
snmalloc,"linear [16,8000]",linear,16,8000,16,31115845,1274
