allocator,scenario,dist,min_size,max_size,threads,mops_per_cpu_second,peak_mib
crt,"even [16,1000]",even,16,1000,1,25756357,38
crt,"even [16,1000]",even,16,1000,2,17392637,63
crt,"even [16,1000]",even,16,1000,4,12314204,104
crt,"even [16,1000]",even,16,1000,8,4758787,181
crt,"even [16,1000]",even,16,1000,16,2574505,353
jemalloc,"even [16,1000]",even,16,1000,1,76800381,24
jemalloc,"even [16,1000]",even,16,1000,2,68921180,50
jemalloc,"even [16,1000]",even,16,1000,4,64024686,98
jemalloc,"even [16,1000]",even,16,1000,8,50311626,199
jemalloc,"even [16,1000]",even,16,1000,16,32555530,418
tcmalloc,"even [16,1000]",even,16,1000,1,209996635,26
tcmalloc,"even [16,1000]",even,16,1000,2,186079977,50
tcmalloc,"even [16,1000]",even,16,1000,4,153701219,93
tcmalloc,"even [16,1000]",even,16,1000,8,116567407,171
tcmalloc,"even [16,1000]",even,16,1000,16,49075335,314
mimalloc,"even [16,1000]",even,16,1000,1,173289278,24
mimalloc,"even [16,1000]",even,16,1000,2,141673076,60
mimalloc,"even [16,1000]",even,16,1000,4,121305651,117
mimalloc,"even [16,1000]",even,16,1000,8,73910846,205
mimalloc,"even [16,1000]",even,16,1000,16,47079513,400
snmalloc,"even [16,1000]",even,16,1000,1,130066719,26
snmalloc,"even [16,1000]",even,16,1000,2,114413774,50
snmalloc,"even [16,1000]",even,16,1000,4,100629278,111
snmalloc,"even [16,1000]",even,16,1000,8,76411288,224
snmalloc,"even [16,1000]",even,16,1000,16,48391331,421
rpmalloc,"even [16,1000]",even,16,1000,1,130031763,23
rpmalloc,"even [16,1000]",even,16,1000,2,122192283,54
rpmalloc,"even [16,1000]",even,16,1000,4,107955203,98
rpmalloc,"even [16,1000]",even,16,1000,8,78536237,196
rpmalloc,"even [16,1000]",even,16,1000,16,55890759,409
qen,"even [16,1000]",even,16,1000,1,125409331,31
qen,"even [16,1000]",even,16,1000,2,104143996,55
qen,"even [16,1000]",even,16,1000,4,86595103,102
qen,"even [16,1000]",even,16,1000,8,62430341,196
qen,"even [16,1000]",even,16,1000,16,33882730,377
crt,"linear [16,8000]",linear,16,8000,1,26885430,125
crt,"linear [16,8000]",linear,16,8000,2,20641221,235
crt,"linear [16,8000]",linear,16,8000,4,17086593,342
crt,"linear [16,8000]",linear,16,8000,8,8752442,543
crt,"linear [16,8000]",linear,16,8000,16,3827918,1067
jemalloc,"linear [16,8000]",linear,16,8000,1,58077085,65
jemalloc,"linear [16,8000]",linear,16,8000,2,51138886,126
jemalloc,"linear [16,8000]",linear,16,8000,4,47583418,255
jemalloc,"linear [16,8000]",linear,16,8000,8,36888023,516
jemalloc,"linear [16,8000]",linear,16,8000,16,25984723,1075
tcmalloc,"linear [16,8000]",linear,16,8000,1,137328307,64
tcmalloc,"linear [16,8000]",linear,16,8000,2,127707223,123
tcmalloc,"linear [16,8000]",linear,16,8000,4,106660819,234
tcmalloc,"linear [16,8000]",linear,16,8000,8,52308314,446
tcmalloc,"linear [16,8000]",linear,16,8000,16,19456043,839
mimalloc,"linear [16,8000]",linear,16,8000,1,82304555,90
mimalloc,"linear [16,8000]",linear,16,8000,2,70624233,160
mimalloc,"linear [16,8000]",linear,16,8000,4,62111357,288
mimalloc,"linear [16,8000]",linear,16,8000,8,38616609,545
mimalloc,"linear [16,8000]",linear,16,8000,16,25233285,1026
snmalloc,"linear [16,8000]",linear,16,8000,1,70173603,63
snmalloc,"linear [16,8000]",linear,16,8000,2,64012775,143
snmalloc,"linear [16,8000]",linear,16,8000,4,54103373,259
snmalloc,"linear [16,8000]",linear,16,8000,8,44365768,528
snmalloc,"linear [16,8000]",linear,16,8000,16,32646034,1073
rpmalloc,"linear [16,8000]",linear,16,8000,1,77950789,62
rpmalloc,"linear [16,8000]",linear,16,8000,2,76418461,127
rpmalloc,"linear [16,8000]",linear,16,8000,4,67065684,252
rpmalloc,"linear [16,8000]",linear,16,8000,8,53808051,507
rpmalloc,"linear [16,8000]",linear,16,8000,16,39812999,1038
qen,"linear [16,8000]",linear,16,8000,1,108528462,66
qen,"linear [16,8000]",linear,16,8000,2,85258050,126
qen,"linear [16,8000]",linear,16,8000,4,74434181,241
qen,"linear [16,8000]",linear,16,8000,8,49655286,455
qen,"linear [16,8000]",linear,16,8000,16,30184638,889
crt,"linear [16,16000]",linear,16,16000,1,21898683,193
crt,"linear [16,16000]",linear,16,16000,2,16323173,367
crt,"linear [16,16000]",linear,16,16000,4,13797595,600
crt,"linear [16,16000]",linear,16,16000,8,8882249,995
crt,"linear [16,16000]",linear,16,16000,16,3001516,1892
jemalloc,"linear [16,16000]",linear,16,16000,1,39146371,119
jemalloc,"linear [16,16000]",linear,16,16000,2,36067037,243
jemalloc,"linear [16,16000]",linear,16,16000,4,33763053,505
jemalloc,"linear [16,16000]",linear,16,16000,8,26863374,1006
jemalloc,"linear [16,16000]",linear,16,16000,16,19195396,2045
tcmalloc,"linear [16,16000]",linear,16,16000,1,107710422,120
tcmalloc,"linear [16,16000]",linear,16,16000,2,103696203,237
tcmalloc,"linear [16,16000]",linear,16,16000,4,66576479,465
tcmalloc,"linear [16,16000]",linear,16,16000,8,28780160,863
tcmalloc,"linear [16,16000]",linear,16,16000,16,11377453,1680
mimalloc,"linear [16,16000]",linear,16,16000,1,59307917,152
mimalloc,"linear [16,16000]",linear,16,16000,2,49621093,256
mimalloc,"linear [16,16000]",linear,16,16000,4,42359513,545
mimalloc,"linear [16,16000]",linear,16,16000,8,25860634,1025
mimalloc,"linear [16,16000]",linear,16,16000,16,15412590,1922
snmalloc,"linear [16,16000]",linear,16,16000,1,51893628,127
snmalloc,"linear [16,16000]",linear,16,16000,2,47656411,255
snmalloc,"linear [16,16000]",linear,16,16000,4,39777864,512
snmalloc,"linear [16,16000]",linear,16,16000,8,33344171,1024
snmalloc,"linear [16,16000]",linear,16,16000,16,24350740,2322
rpmalloc,"linear [16,16000]",linear,16,16000,1,70920913,120
rpmalloc,"linear [16,16000]",linear,16,16000,2,66648871,244
rpmalloc,"linear [16,16000]",linear,16,16000,4,57980732,488
rpmalloc,"linear [16,16000]",linear,16,16000,8,46910433,984
rpmalloc,"linear [16,16000]",linear,16,16000,16,33361890,2044
qen,"linear [16,16000]",linear,16,16000,1,75404594,121
qen,"linear [16,16000]",linear,16,16000,2,64962571,235
qen,"linear [16,16000]",linear,16,16000,4,54698401,453
qen,"linear [16,16000]",linear,16,16000,8,38425960,873
qen,"linear [16,16000]",linear,16,16000,16,24141296,1706
crt,"exp [128,64000]",exp,128,64000,1,16754211,533
crt,"exp [128,64000]",exp,128,64000,2,12377574,1032
